Species,POINT_X,POINT_Y
bias,-72.728768,43.788456
bias,-72.675976,43.772447
bias,-72.658366,43.810047
bias,-72.77511,41.86488
bias,-72.77646,41.86413
bias,-72.78068,41.86505
bias,-72.77755,41.86641
bias,-72.7778,41.8654
bias,-72.77958,41.86411
bias,-72.79676,41.78748
bias,-72.79251,41.78836
bias,-72.79295,41.7877
bias,-72.7981,41.7654
bias,-70.738647,41.813992
bias,-70.737258,41.816492
bias,-70.73087,41.842603
bias,-70.803094,41.919547
bias,-70.757815,41.868853
bias,-72.719536,42.620085
bias,-72.367297,42.124614
bias,-72.246253,42.049475
bias,-72.269443,42.03762
bias,-73.17222,44.01271
bias,-73.20413,44.0579
bias,-73.20496,44.0621
bias,-73.18492,44.05403
bias,-73.181633,44.055538
bias,-73.179453,44.036949
bias,-73.180213,44.053648
bias,-73.17734,44.03822
bias,-73.17608,44.04422
bias,-73.18046,44.03532
bias,-73.17715,44.05028
bias,-73.17765,44.05004
bias,-73.1777,44.04846
bias,-73.17702,44.0336
bias,-73.1518,44.01328
bias,-73.1521,44.01269
bias,-73.153,44.0086
bias,-73.15152,44.00913
bias,-73.15011,44.00692
bias,-73.14838,43.99731
bias,-73.1482,43.9969
bias,-73.14858,43.99811
bias,-73.14901,43.99912
bias,-73.14805,43.99801
bias,-73.14898,43.99869
bias,-69.91666,44.53633
bias,-69.9225,44.56666
bias,-69.92283,44.52983
bias,-70.69225,41.88611
bias,-70.652534,41.832049
bias,-69.91283,44.512
bias,-70.65616,43.416744
bias,-70.643399,43.421744
bias,-70.656181,45.573376
bias,-70.702831,43.513412
bias,-70.63616,43.501743
bias,-70.714502,43.59674
bias,-71.3181,41.6033
bias,-71.316667,41.583333
bias,-71.322222,41.619444
bias,-72.537035,43.222298
bias,-72.551479,43.204243
bias,-73.22456,44.44566
bias,-73.21645,44.61508
bias,-73.22431,44.61583
bias,-73.22685,44.61146
bias,-73.23511,44.61686
bias,-73.23863,44.51165
bias,-73.069567,44.306714
bias,-73.061227,44.310054
bias,-73.046226,44.290055
bias,-73.044566,44.290055
bias,-73.051226,44.288385
bias,-72.999567,44.350054
bias,-72.996227,44.335054
bias,-72.999567,44.346714
bias,-73.041227,44.328384
bias,-69.637742,44.658934
bias,-69.639952,44.658384
bias,-69.628812,44.662994
bias,-72.410759,43.644396
bias,-70.021996,44.291736
bias,-70.085,44.3242
bias,-70.068943,44.34979
bias,-70.124221,44.31868
bias,-69.9709,43.7692
bias,-69.9714,43.7686
bias,-69.9119,43.7908
bias,-69.53461,44.03385
bias,-69.512,44.051
bias,-69.52421,44.0409
bias,-71.3145,42.058988
bias,-71.267831,42.052877
bias,-71.317,42.108709
bias,-70.590833,41.417964
bias,-71.319223,42.109265
bias,-70.4609,41.3553
bias,-71.466924,42.319734
bias,-71.47009,42.319734
bias,-71.47798,42.321928
bias,-71.484674,42.33515
bias,-71.430422,42.281373
bias,-71.432061,42.282429
bias,-71.486424,42.273206
bias,-71.481063,42.27479
bias,-71.476452,42.277512
bias,-71.472896,42.276734
bias,-71.476285,42.276762
bias,-72.837044,41.425097
bias,-72.874546,41.441764
bias,-72.874546,41.429264
bias,-72.7667,41.3972
bias,-72.866212,41.433431
bias,-72.832878,41.425097
bias,-71.400278,41.685556
bias,-71.416111,41.696667
bias,-71.415556,41.692222
bias,-71.457778,41.703333
bias,-71.459167,41.703333
bias,-71.446667,41.641389
bias,-70.538833,41.397417
bias,-72.659814,41.7776
bias,-72.676481,41.813155
bias,-72.687593,41.860932
bias,-72.437587,42.716834
bias,-72.435365,42.702862
bias,-70.510771,41.353329
bias,-72.438143,42.718417
bias,-72.259677,41.786477
bias,-73.683222,41.059167
bias,-72.259686,41.785912
bias,-73.684083,41.059306
bias,-72.259299,41.784439
bias,-72.797319,41.93593
bias,-72.818431,41.942319
bias,-72.258537,41.781887
bias,-72.256398,41.779124
bias,-72.814542,41.942041
bias,-72.816431,41.938986
bias,-72.817597,41.940374
bias,-72.804819,41.936763
bias,-72.258126,41.78145
bias,-71.84016,41.32683
bias,-71.66933,41.36633
bias,-71.66383,41.37333
bias,-72.312611,41.822346
bias,-71.66433,41.37266
bias,-71.72116,41.336
bias,-72.312783,41.821999
bias,-72.179011,41.823155
bias,-71.72216,41.33683
bias,-72.279585,41.782242
bias,-71.65716,41.36233
bias,-71.7185,41.3345
bias,-72.279974,41.783594
bias,-71.80466,41.33016
bias,-72.28209,41.812393
bias,-71.8035,41.3315
bias,-72.281773,41.811534
bias,-71.80433,41.33033
bias,-72.282769,41.810933
bias,-71.69866,41.36766
bias,-71.69633,41.36466
bias,-72.279497,41.783644
bias,-71.69633,41.36516
bias,-71.69716,41.36483
bias,-71.70366,41.36416
bias,-71.707845,41.708433
bias,-71.6638,41.6889
bias,-71.68921,41.66878
bias,-71.68938,41.67143
bias,-71.5975,41.588
bias,-71.6292,41.5706
bias,-71.60673,41.585378
bias,-71.606453,41.618711
bias,-71.606452,41.585378
bias,-72.8725,42.326389
bias,-72.871944,42.326944
bias,-72.876111,42.324167
bias,-72.875833,42.321389
bias,-72.874444,42.318333
bias,-72.871667,42.316111
bias,-72.868889,42.316111
bias,-72.868889,42.318056
bias,-72.843056,42.347222
bias,-72.870278,42.371944
bias,-72.868611,42.366111
bias,-72.869722,42.365833
bias,-72.868056,42.361944
bias,-72.863056,42.357778
bias,-72.863056,42.357222
bias,-72.858333,42.350278
bias,-72.858611,42.350278
bias,-72.855556,42.344722
bias,-72.265,42.271111
bias,-72.864722,42.272222
bias,-72.864722,42.272778
bias,-72.865556,42.272222
bias,-72.867778,42.267778
bias,-72.830096,42.255645
bias,-72.826389,42.253611
bias,-72.829444,42.253611
