"Longitude","Latitude","X","Y","species"
-83.88406,11.3946,-9337930.84487241,1251878.84696814,"Tapirus bairdii"
-83.90204,11.3909,-9339932.36931687,1251477.57386418,"Tapirus bairdii"
-83.8699,11.42445,-9336354.56088278,1255115.95860475,"Tapirus bairdii"
-83.87293,11.40148,-9336691.85893988,1252624.98450933,"Tapirus bairdii"
-83.7816,12.54919,-9326525.04984573,1376839.86669517,"Tapirus bairdii"
-83.7828,12.52331,-9326658.63323468,1374044.66678668,"Tapirus bairdii"
-83.79764,12.50879,-9328310.61447805,1372476.29735293,"Tapirus bairdii"
-83.78278,12.55936,-9326656.40684487,1377938.21461179,"Tapirus bairdii"
-83.76759,12.5624,-9324965.46377972,1378266.52278487,"Tapirus bairdii"
-83.61437,12.62216,-9307909.09140037,1384719.60110875,"Tapirus bairdii"
-84.18185,14.22551,-9371080.67603574,1557284.20427289,"Tapirus bairdii"
-84.17023,14.23376,-9369787.14355272,1558169.16884815,"Tapirus bairdii"
-84.3191,13.61847,-9386359.27614711,1492082.7605829,"Tapirus bairdii"
-84.30495,13.62183,-9384784.10535239,1492444.11031772,"Tapirus bairdii"
-84.29665,13.82761,-9383860.1535788,1514565.04412192,"Tapirus bairdii"
-84.28438,13.8089,-9382494.26342677,1512554.54017695,"Tapirus bairdii"
-84.30241,13.81417,-9384501.35384577,1513120.84983456,"Tapirus bairdii"
-84.59077,14.13398,-9416601.44221092,1547463.81580606,"Tapirus bairdii"
-84.62239,14.14608,-9420121.36450981,1548762.26408907,"Tapirus bairdii"
-84.61608,14.16629,-9419418.9385229,1550930.84438983,"Tapirus bairdii"
-84.60175,14.17144,-9417823.73021983,1551483.42136326,"Tapirus bairdii"
-84.59613,14.15809,-9417198.11468158,1550050.98787281,"Tapirus bairdii"
-84.59676,14.18704,-9417268.24596077,1553157.17213508,"Tapirus bairdii"
-84.02607,14.49437,-9353739.32575996,1586108.08209118,"Tapirus bairdii"
-83.87583,14.33372,-9337014.68546318,1568889.21237189,"Tapirus bairdii"
-83.89066,12.01639,-9338665.55351164,1319239.76799604,"Tapirus bairdii"
-83.87852,12.01244,-9337314.13489341,1318812.31896379,"Tapirus bairdii"
-83.71438,11.81272,-9319042.15367461,1297191.70860913,"Tapirus bairdii"
-83.71328,11.82772,-9318919.70223473,1298816.06451788,"Tapirus bairdii"
-84.07817,14.63439,-9359539.07123029,1601105.86077539,"Tapirus bairdii"
-84.09119,14.63132,-9360988.45100042,1600777.12758414,"Tapirus bairdii"
-84.14266,14.53512,-9366718.06519155,1590473.84055039,"Tapirus bairdii"
-84.15451,14.54919,-9368037.20115745,1591981.05034063,"Tapirus bairdii"
-84.12513,14.52504,-9364766.63451794,1589393.99093487,"Tapirus bairdii"
-84.20378,14.48676,-9373521.91246883,1585292.69660839,"Tapirus bairdii"
-84.2105,14.47589,-9374269.97944696,1584127.96596335,"Tapirus bairdii"
-84.22526,14.47736,-9375913.05513107,1584285.48108826,"Tapirus bairdii"
-83.87961,14.18619,-9337435.47313838,1553065.97706799,"Tapirus bairdii"
-84.07771,13.45582,-9359487.86426453,1474584.67626582,"Tapirus bairdii"
-84.05627,13.47364,-9357101.17438192,1476502.34120489,"Tapirus bairdii"
-84.02738,13.44456,-9353885.1542929,1473372.88135413,"Tapirus bairdii"
-83.90182,13.4211,-9339907.8790289,1470847.9510676,"Tapirus bairdii"
-84.02909,13.35528,-9354075.51062216,1463762.65712445,"Tapirus bairdii"
-84.03097,13.33741,-9354284.79126485,1461838.68830784,"Tapirus bairdii"
-83.86096,13.50429,-9335359.36463508,1479800.35596941,"Tapirus bairdii"
-83.86679,13.57315,-9336008.35726641,1487208.35251451,"Tapirus bairdii"
-83.90429,13.59115,-9340182.83817116,1489144.45744944,"Tapirus bairdii"
-83.94563,13.57938,-9344784.78592055,1487878.47615148,"Tapirus bairdii"
-84.27493,13.33713,-9381442.29423877,1461808.54107819,"Tapirus bairdii"
-84.26644,13.4085,-9380497.19176194,1469491.75112159,"Tapirus bairdii"
-84.28313,13.40248,-9382355.11406328,1468843.76445726,"Tapirus bairdii"
-83.88587,11.99626,-9338132.33315074,1317061.33740602,"Tapirus bairdii"
-90.9186,16.1636,-10121012.2556373,1764276.04257955,"Tapirus bairdii"
-92.8075,15.6569,-10331283.6417967,1710340.28030381,"Tapirus bairdii"
-91.0833,16.7167,-10139346.575771,1822996.9898086,"Tapirus bairdii"
-93.5906,16.21,-10418457.9350369,1769208.4301233,"Tapirus bairdii"
-91.0653,16.7089,-10137342.8249367,1822170.02768363,"Tapirus bairdii"
-93.9258,16.3625,-10455772.2283509,1785411.40793464,"Tapirus bairdii"
-93.5586,16.8528,-10414895.7113316,1837421.09724189,"Tapirus bairdii"
-89.75,18.2333,-9990924.2986963,1983143.09773461,"Tapirus bairdii"
-91.3667,16.8,-10170894.5194618,1831826.46140902,"Tapirus bairdii"
