"","X","Route.Point","detN","site","POINT","WMA","grass250m","grass500m","grass1km","grass1.5km","grass2km","grass2.5km","grass3km","grass3.5m","grass4km","grass4.5km","grass5km","trees250m","trees500m","trees1km","trees1.5km","trees2km","trees2.5km","trees3km","trees3.5km","trees4km","trees4.5km","trees5km","Occur"
"101",101,"GRAHAM.2.2",0,"GRAHAM.2",2,"GRAHAM",0.87747,0.691454,0.508414,0.493818,0.482555,0.495459,0.504504,0.50556,0.508578,0.505835,0.513975,0.0711462,0.195339,0.296828,0.17986,0.139984,0.131794,0.133558,0.134712,0.130892,0.125734,0.119857,0
"102",102,"GRAHAM.3.3",0,"GRAHAM.3",3,"GRAHAM",0.905138,0.674806,0.497103,0.494965,0.48085,0.486965,0.502626,0.49957,0.500289,0.501146,0.51377,0.0434783,0.227525,0.269793,0.178075,0.145314,0.133285,0.123054,0.130406,0.130606,0.125994,0.116746,0
"103",103,"GRAHAM.4.4",0,"GRAHAM.4",4,"GRAHAM",0.873518,0.788013,0.577655,0.542384,0.501101,0.505761,0.51905,0.515046,0.515878,0.516361,0.515613,0.0316206,0.142064,0.220966,0.15819,0.124565,0.127366,0.130375,0.133633,0.12682,0.123537,0.120614,0
"104",104,"GRAHAM.5.5",0,"GRAHAM.5",5,"GRAHAM",0.822134,0.689234,0.564414,0.594519,0.529951,0.485339,0.47904,0.482841,0.500381,0.508538,0.508441,0,0.0221976,0.054069,0.0883365,0.0982022,0.115393,0.124646,0.115632,0.106328,0.105233,0.106193,0
"105",105,"GRAHAM.6.6",1,"GRAHAM.6",6,"GRAHAM",0.956522,0.835738,0.628138,0.509879,0.461806,0.457281,0.463539,0.488751,0.493591,0.491829,0.496924,0,0.0244173,0.0877241,0.105672,0.105663,0.12199,0.124009,0.116191,0.103066,0.102036,0.104811,1
"106",106,"GRAHAM.7.7",0,"GRAHAM.7",7,"GRAHAM",0.98419,0.835738,0.572966,0.545188,0.505649,0.496634,0.510679,0.51097,0.509658,0.510734,0.515562,0.0158103,0.0499445,0.201379,0.156533,0.120443,0.127276,0.121813,0.125009,0.126743,0.123491,0.117078,0
"107",107,"GRAHAM.8.8",2,"GRAHAM.8",8,"GRAHAM",0.802372,0.792453,0.610207,0.490631,0.43587,0.445986,0.46287,0.491101,0.490204,0.486708,0.498499,0.00395257,0.0588235,0.0943448,0.10376,0.112201,0.123571,0.122227,0.116586,0.104732,0.0997015,0.102015,1
"108",108,"GRAHAM.9.9",0,"GRAHAM.9",9,"GRAHAM",0.988142,0.786903,0.630897,0.536138,0.5124,0.488004,0.471719,0.488914,0.503076,0.505539,0.503156,0,0,0.0278621,0.0921606,0.0959994,0.112637,0.124359,0.112654,0.10358,0.0984989,0.103453,0
"109",109,"HAM.1.1",5,"HAM.1",1,"HAM",0.782609,0.594895,0.531034,0.636201,0.714631,0.748159,0.706878,0.688839,0.667329,0.651009,0.653673,0,0,0.008,0.01058,0.0066084,0.00420187,0.0232677,0.0294781,0.0301058,0.0304184,0.0299412,1
"110",110,"HAM.2.2",4,"HAM.2",2,"HAM",1,0.897891,0.674207,0.660166,0.69509,0.722812,0.698221,0.676764,0.667736,0.655112,0.649837,0,0,0.0057931,0.0100701,0.0066084,0.00420187,0.00824394,0.0263605,0.0265953,0.0273199,0.0281833,1
"111",111,"HAM.3.3",3,"HAM.3",3,"HAM",0.976285,0.857936,0.75531,0.716125,0.7179,0.694664,0.673616,0.660106,0.654811,0.650429,0.643742,0,0,0,0.00471638,0.00632417,0.00420187,0.00875322,0.022033,0.027269,0.0272067,0.0290851,1
"112",112,"HAM.4.4",4,"HAM.4",4,"HAM",0.960474,0.941176,0.798621,0.687699,0.678036,0.685899,0.684979,0.671669,0.66724,0.658748,0.652052,0,0,0.00662069,0.0100701,0.0066084,0.00420187,0.00302384,0.0152393,0.0231202,0.0240376,0.0248616,1
"113",113,"HAM.5.5",3,"HAM.5",5,"HAM",0.924901,0.889012,0.773517,0.667049,0.678036,0.663353,0.697425,0.688746,0.673038,0.668482,0.655328,0,0,0.00937931,0.0118547,0.0066084,0.00420187,0.00391508,0.00742188,0.0209748,0.0211655,0.0226357,1
"114",114,"HAM.6.6",2,"HAM.6",6,"HAM",0.87747,0.653718,0.600276,0.665264,0.673986,0.684001,0.701626,0.722296,0.702683,0.686931,0.669928,0.0355731,0.0310766,0.0228966,0.0118547,0.0066084,0.00528622,0.00728905,0.00595612,0.01656,0.0200478,0.0212887,1
"115",115,"HAM.7.7",5,"HAM.7",7,"HAM",0.924901,0.804662,0.701793,0.720331,0.670646,0.64248,0.664195,0.684116,0.678499,0.661125,0.665932,0,0,0.00937931,0.0108349,0.0066084,0.00546695,0.00506095,0.00593285,0.00602826,0.0172748,0.0180127,1
"116",116,"HAM.8.8",2,"HAM.8",8,"HAM",0.782609,0.643729,0.636138,0.67202,0.722589,0.760719,0.770952,0.763198,0.756068,0.738784,0.720792,0.00395257,0.0199778,0.0184828,0.0119822,0.0141406,0.0089911,0.00716173,0.00930644,0.0192018,0.0235848,0.0213458,1
"117",117,"HAM.9.9",3,"HAM.9",9,"HAM",1,0.914539,0.694345,0.699426,0.73808,0.765012,0.767005,0.759708,0.735554,0.737836,0.720164,0,0.0144284,0.0162759,0.0118547,0.0141406,0.0089911,0.0095808,0.0209395,0.0281201,0.025707,0.0239142,1
"118",118,"HICK.1.1",1,"HICK.1",1,"HICK",0.632411,0.738069,0.752,0.724793,0.737938,0.743415,0.76535,0.775971,0.771245,0.761973,0.750197,0.237154,0.149834,0.169379,0.182409,0.169118,0.152352,0.117675,0.102208,0.100512,0.0973529,0.107231,1
"119",119,"HICK.2.2",0,"HICK.2",2,"HICK",0.699605,0.683685,0.689931,0.689866,0.726569,0.730538,0.755674,0.761429,0.760962,0.758379,0.749101,0.217391,0.18313,0.233931,0.227279,0.177148,0.151132,0.117834,0.104302,0.0978174,0.0982584,0.108841,0
"120",120,"HICK.3.3",2,"HICK.3",3,"HICK",0.782609,0.82242,0.799448,0.744806,0.742912,0.7534,0.765668,0.775226,0.764614,0.75122,0.732481,0.189723,0.153163,0.12331,0.161887,0.163078,0.148602,0.120858,0.113329,0.10897,0.110822,0.11634,1
"121",121,"HICK.4.4",1,"HICK.4",4,"HICK",0.640316,0.684795,0.742345,0.750032,0.752505,0.760629,0.772257,0.787022,0.781015,0.768934,0.758701,0.114625,0.18202,0.166621,0.161377,0.159099,0.134776,0.114588,0.0939252,0.0926402,0.0929246,0.0995491,1
"122",122,"HICK.5.5",1,"HICK.5",5,"HICK",0.632411,0.415094,0.563034,0.661823,0.68166,0.699815,0.707992,0.713222,0.733054,0.738034,0.734878,0.359684,0.567148,0.310345,0.202932,0.165423,0.138797,0.124359,0.119471,0.112126,0.115632,0.120244,1
"123",123,"HICK.6.6",0,"HICK.6",6,"HICK",0.679842,0.72364,0.766897,0.754238,0.752647,0.758325,0.76831,0.78323,0.775252,0.761463,0.743257,0.264822,0.190899,0.144552,0.150159,0.157251,0.148918,0.117675,0.104279,0.102622,0.102432,0.109423,0
"124",124,"HICK.7.7",0,"HICK.7",7,"HICK",0.498024,0.553829,0.597241,0.671128,0.703119,0.701667,0.70586,0.718829,0.736884,0.750173,0.74796,0.498024,0.437292,0.319172,0.195793,0.144674,0.126598,0.108476,0.106535,0.106966,0.103776,0.111786,0
"125",125,"HICK.8.8",0,"HICK.8",8,"HICK",0.664032,0.698113,0.638069,0.643595,0.681944,0.69367,0.700003,0.719946,0.73231,0.74317,0.746704,0.27668,0.234184,0.23531,0.181007,0.131244,0.113451,0.105166,0.104697,0.110193,0.111275,0.111843,0
"126",126,"HICK.9.9",5,"HICK.9",9,"HICK",0.754941,0.766926,0.656276,0.681326,0.708662,0.728731,0.744629,0.750657,0.754561,0.749905,0.736978,0.158103,0.17758,0.25269,0.226514,0.190365,0.151267,0.124678,0.112399,0.102888,0.10686,0.117516,1
